2019-01-13 04:44:24,131 INFO WEIGHT LAYER 39: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:24,230 INFO WEIGHT LAYER 40: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:24,321 INFO WEIGHT LAYER 42: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:24,408 INFO WEIGHT LAYER 44: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:24,492 INFO WEIGHT LAYER 45: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:24,595 INFO WEIGHT LAYER 49: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:24,712 INFO WEIGHT LAYER 50: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:24,712 INFO ------------------
2019-01-13 04:44:24,713 INFO BIAS LAYER 2: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:24,714 INFO BIAS LAYER 5: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:24,715 INFO BIAS LAYER 8: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:24,716 INFO BIAS LAYER 12: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:24,717 INFO BIAS LAYER 15: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:24,718 INFO BIAS LAYER 19: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:24,719 INFO BIAS LAYER 22: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:24,720 INFO BIAS LAYER 26: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:24,721 INFO BIAS LAYER 29: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:24,722 INFO BIAS LAYER 33: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:24,723 INFO BIAS LAYER 36: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:24,724 INFO BIAS LAYER 40: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:24,725 INFO BIAS LAYER 44: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:24,726 INFO ******************
2019-01-13 06:35:03,554 INFO WEIGHT LAYER 1: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,568 INFO WEIGHT LAYER 2: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,578 INFO WEIGHT LAYER 4: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,583 INFO WEIGHT LAYER 5: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,586 INFO WEIGHT LAYER 7: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,591 INFO WEIGHT LAYER 8: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,594 INFO WEIGHT LAYER 11: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,597 INFO WEIGHT LAYER 12: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,600 INFO WEIGHT LAYER 14: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,604 INFO WEIGHT LAYER 15: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,608 INFO WEIGHT LAYER 18: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,611 INFO WEIGHT LAYER 19: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,614 INFO WEIGHT LAYER 21: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,618 INFO WEIGHT LAYER 22: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,621 INFO WEIGHT LAYER 25: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,626 INFO WEIGHT LAYER 26: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,629 INFO WEIGHT LAYER 28: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,631 INFO WEIGHT LAYER 29: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,634 INFO WEIGHT LAYER 32: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,636 INFO WEIGHT LAYER 33: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,639 INFO WEIGHT LAYER 35: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,643 INFO WEIGHT LAYER 36: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,645 INFO WEIGHT LAYER 39: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,646 INFO WEIGHT LAYER 40: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,649 INFO WEIGHT LAYER 42: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,652 INFO WEIGHT LAYER 44: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,653 INFO WEIGHT LAYER 45: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,654 INFO WEIGHT LAYER 49: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,657 INFO WEIGHT LAYER 50: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,657 INFO ------------------
2019-01-13 06:35:03,659 INFO BIAS LAYER 2: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,660 INFO BIAS LAYER 5: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,661 INFO BIAS LAYER 8: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,662 INFO BIAS LAYER 12: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,663 INFO BIAS LAYER 15: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,664 INFO BIAS LAYER 19: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,665 INFO BIAS LAYER 22: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,666 INFO BIAS LAYER 26: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,667 INFO BIAS LAYER 29: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,668 INFO BIAS LAYER 33: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,669 INFO BIAS LAYER 36: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,670 INFO BIAS LAYER 40: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,671 INFO BIAS LAYER 44: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 06:35:03,672 INFO ******************
2019-01-13 07:58:34,527 INFO WEIGHT LAYER 1: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,528 INFO WEIGHT LAYER 2: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,531 INFO WEIGHT LAYER 4: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,532 INFO WEIGHT LAYER 5: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,533 INFO WEIGHT LAYER 7: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,534 INFO WEIGHT LAYER 8: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,535 INFO WEIGHT LAYER 11: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,536 INFO WEIGHT LAYER 12: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,537 INFO WEIGHT LAYER 14: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,539 INFO WEIGHT LAYER 15: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,542 INFO WEIGHT LAYER 18: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,543 INFO WEIGHT LAYER 19: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,545 INFO WEIGHT LAYER 21: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,546 INFO WEIGHT LAYER 22: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,547 INFO WEIGHT LAYER 25: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,548 INFO WEIGHT LAYER 26: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,549 INFO WEIGHT LAYER 28: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,550 INFO WEIGHT LAYER 29: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,551 INFO WEIGHT LAYER 32: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,552 INFO WEIGHT LAYER 33: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,553 INFO WEIGHT LAYER 35: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,556 INFO WEIGHT LAYER 36: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,557 INFO WEIGHT LAYER 39: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,558 INFO WEIGHT LAYER 40: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,558 INFO WEIGHT LAYER 42: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,559 INFO WEIGHT LAYER 44: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,560 INFO WEIGHT LAYER 45: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,561 INFO WEIGHT LAYER 49: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,562 INFO WEIGHT LAYER 50: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,562 INFO ------------------
2019-01-13 07:58:34,563 INFO BIAS LAYER 2: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,564 INFO BIAS LAYER 5: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,565 INFO BIAS LAYER 8: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,566 INFO BIAS LAYER 12: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,567 INFO BIAS LAYER 15: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,568 INFO BIAS LAYER 19: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,569 INFO BIAS LAYER 22: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,570 INFO BIAS LAYER 26: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,571 INFO BIAS LAYER 29: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,572 INFO BIAS LAYER 33: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,573 INFO BIAS LAYER 36: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,574 INFO BIAS LAYER 40: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,575 INFO BIAS LAYER 44: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 07:58:34,576 INFO ******************
